"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad";Costo
liguero-fiamma;;;Color;Rosa;"Talle Liguero";2;;;10,500.00;;0.12;30.00;20.00;0.00;2;;;;;;;;;;;;;;
liguero-fiamma;;;Color;Avellana;"Talle Liguero";1;;;10,500.00;;0.12;30.00;20.00;0.00;2;;;;;;;;;;;;;;
liguero-fiamma;;;Color;Avellana;"Talle Liguero";2;;;10,500.00;;0.12;30.00;20.00;0.00;2;;;;;;;;;;;;;;
monaco-black-and-red;"Mónaco Black and Red";Conjuntos;Color;Rojo;Talles;85;;;34,000.00;;0.12;30.00;20.00;0.00;5;;;SI;NO;"<h2 style=""text-align: center;""><span style=""color: #000000;""><strong><em>Conjunto color Rojo combinado con tiras en puntilla elastizada color Negro... y&nbsp;</em></strong></span></h2>
<div class=""product-description user-content"" style=""box-sizing: inherit; margin-bottom: 20px; font-family: 'Droid Sans', sans-serif; font-size: 14px; background-color: #ecf0f1;"">
<h1 style=""box-sizing: inherit; font-size: 34px; margin-top: 0px; font-family: Nunito, sans-serif;""><span style=""box-sizing: inherit; color: #e03e2d;""><span style=""box-sizing: inherit; color: #000000;"">Demora de 2 a 5 d&iacute;as h&aacute;biles por con</span></span><span style=""box-sizing: inherit; color: #e03e2d;""><span style=""box-sizing: inherit; color: #000000;"">f</span></span><span style=""box-sizing: inherit; color: #e03e2d;""><span style=""box-sizing: inherit; color: #000000;"">ecci&oacute;n</span></span></h1>
</div>
<h2 style=""text-align: center;""><span style=""color: #000000;""><strong><em>Arn&eacute;s desmontable.</em></strong></span></h2>";;;;;SI;;;;
monaco-black-and-red;;;Color;Rojo;Talles;90;;;34,000.00;;0.12;30.00;20.00;0.00;5;;;;;;;;;;;;;;
monaco-black-and-red;;;Color;Rojo;Talles;95;;;34,000.00;;0.12;30.00;20.00;0.00;5;;;;;;;;;;;;;;
monaco-black-and-red;;;Color;Rojo;Talles;100;;;34,000.00;;0.12;30.00;20.00;0.00;4;;;;;;;;;;;;;;
monaco-black-and-red;;;Color;Rojo;Talles;105;;;34,000.00;;0.12;30.00;20.00;0.00;5;;;;;;;;;;;;;;
carmela1;Carmela;Conjuntos;Color;Negro;Talles;85;;;28,900.00;;0.15;30.00;20.00;0.00;2;;;SI;NO;"<h3><strong><em>Conjunto compuesto de corpi&ntilde;o forrado con todo el bajo busto de puntillas tiras con adornos de tres argolllas en breteles delanteros y coleta en la espalda tambien con adorno y con doble tira para mejor sost&eacute;n .Tanga less con 3 argollas de adorno al igual que el corpi&ntilde;o.Todas las tiras del conjunto son regulables</em></strong></h3>
<div class=""product-description user-content"" style=""box-sizing: inherit; margin-bottom: 20px; font-family: 'Droid Sans', sans-serif; font-size: 14px; background-color: #ecf0f1;"">
<h1 style=""box-sizing: inherit; font-size: 34px; margin-top: 0px; font-family: Nunito, sans-serif;""><span style=""box-sizing: inherit; color: #e03e2d;""><span style=""box-sizing: inherit; color: #000000;"">Demora de 2 a 5 d&iacute;as h&aacute;biles por con</span></span><span style=""box-sizing: inherit; color: #e03e2d;""><span style=""box-sizing: inherit; color: #000000;"">f</span></span><span style=""box-sizing: inherit; color: #e03e2d;""><span style=""box-sizing: inherit; color: #000000;"">ecci&oacute;n</span></span></h1>
<p><span style=""box-sizing: inherit; color: #e03e2d;""><span style=""box-sizing: inherit; color: #000000;"">&nbsp;</span></span></p>
</div>";;;;;SI;;;;
carmela1;;;Color;Negro;Talles;90;;;28,900.00;;0.15;30.00;20.00;0.00;2;;;;;;;;;;;;;;
carmela1;;;Color;Negro;Talles;95;;;28,900.00;;0.15;30.00;20.00;0.00;2;;;;;;;;;;;;;;
carmela1;;;Color;Negro;Talles;100;;;28,900.00;;0.15;30.00;20.00;0.00;2;;;;;;;;;;;;;;
carmela1;;;Color;Negro;Talles;105;;;28,900.00;;0.15;30.00;20.00;0.00;2;;;;;;;;;;;;;;
carmela1;;;Color;Blanco;Talles;85;;;28,900.00;;0.15;30.00;20.00;0.00;3;;;;;;;;;;;;;;
carmela1;;;Color;Blanco;Talles;90;;;28,900.00;;0.15;30.00;20.00;0.00;2;;;;;;;;;;;;;;
carmela1;;;Color;Blanco;Talles;95;;;28,900.00;;0.15;30.00;20.00;0.00;3;;;;;;;;;;;;;;
carmela1;;;Color;Blanco;Talles;100;;;28,900.00;;0.15;30.00;20.00;0.00;2;;;;;;;;;;;;;;
carmela1;;;Color;Blanco;Talles;105;;;28,900.00;;0.15;30.00;20.00;0.00;1;;;;;;;;;;;;;;
carmela1;;;Color;Rojo;Talles;85;;;28,900.00;;0.15;30.00;20.00;0.00;2;;;;;;;;;;;;;;
carmela1;;;Color;Rojo;Talles;90;;;28,900.00;;0.15;30.00;20.00;0.00;0;;;;;;;;;;;;;;
carmela1;;;Color;Rojo;Talles;95;;;28,900.00;;0.15;30.00;20.00;0.00;2;;;;;;;;;;;;;;
carmela1;;;Color;Rojo;Talles;100;;;28,900.00;;0.15;30.00;20.00;0.00;2;;;;;;;;;;;;;;
carmela1;;;Color;Rojo;Talles;105;;;28,900.00;;0.15;30.00;20.00;0.00;2;;;;;;;;;;;;;;
carmela1;;;Color;Avellana;Talles;85;;;28,900.00;;0.15;30.00;20.00;0.00;2;;;;;;;;;;;;;;
carmela1;;;Color;Avellana;Talles;90;;;28,900.00;;0.15;30.00;20.00;0.00;2;;;;;;;;;;;;;;
carmela1;;;Color;Avellana;Talles;95;;;28,900.00;;0.15;30.00;20.00;0.00;2;;;;;;;;;;;;;;
carmela1;;;Color;Avellana;Talles;100;;;28,900.00;;0.15;30.00;20.00;0.00;2;;;;;;;;;;;;;;
carmela1;;;Color;Avellana;Talles;105;;;28,900.00;;0.15;30.00;20.00;0.00;2;;;;;;;;;;;;;;
lory;Lory;Conjuntos;Color;Negro;Talles;85;;;32,490.00;;0.12;30.00;20.00;0.20;5;;;SI;NO;"<h3 style=""text-align: center;""><strong><em>Conjunto en puntilla elastizada, compuesto de Top forrado con tiras regulables en la espalda, doble tira en bajo busto y tiras de adorno en delantero. Tanga less con tiras regulables.</em></strong></h3>
<div class=""product-description user-content"" style=""box-sizing: inherit; margin-bottom: 20px; font-family: 'Droid Sans', sans-serif; font-size: 14px; background-color: #ecf0f1;"">
<h1 style=""box-sizing: inherit; font-size: 34px; margin-top: 0px; font-family: Nunito, sans-serif;""><span style=""box-sizing: inherit; color: #e03e2d;""><span style=""box-sizing: inherit; color: #000000;"">Demora de 2 a 5 d&iacute;as h&aacute;biles por con</span></span><span style=""box-sizing: inherit; color: #e03e2d;""><span style=""box-sizing: inherit; color: #000000;"">f</span></span><span style=""box-sizing: inherit; color: #e03e2d;""><span style=""box-sizing: inherit; color: #000000;"">ecci&oacute;n</span></span></h1>
<p><span style=""box-sizing: inherit; color: #e03e2d;""><span style=""box-sizing: inherit; color: #000000;"">&nbsp;</span></span></p>
</div>";"conjuntos, sexy";"CONJUNTO SEXY";;Sakú;SI;;;;
lory;;;Color;Negro;Talles;90;;;32,490.00;;0.20;30.00;20.00;0.20;5;;;;;;;;;;;;;;
lory;;;Color;Negro;Talles;95;;;32,490.00;;0.20;30.00;20.00;0.20;5;;;;;;;;;;;;;;
lory;;;Color;Negro;Talles;100;;;32,490.00;;0.20;30.00;20.00;0.20;5;;;;;;;;;;;;;;
lory;;;Color;Negro;Talles;105;;;32,490.00;;0.20;30.00;20.00;0.20;1;;;;;;;;;;;;;;
lory;;;Color;Blanco;Talles;85;;;32,490.00;;0.20;30.00;20.00;0.20;1;;;;;;;;;;;;;;
lory;;;Color;Blanco;Talles;90;;;32,490.00;;0.20;30.00;20.00;0.20;5;;;;;;;;;;;;;;
lory;;;Color;Blanco;Talles;95;;;32,490.00;;0.20;30.00;20.00;0.20;1;;;;;;;;;;;;;;
lory;;;Color;Blanco;Talles;100;;;32,400.00;;0.20;30.00;20.00;0.20;1;;;;;;;;;;;;;;
lory;;;Color;Blanco;Talles;105;;;0.00;;0.20;30.00;20.00;0.20;1;;;;;;;;;;;;;;
lory;;;Color;Rojo;Talles;85;;;32,490.00;;0.20;30.00;20.00;0.20;5;;;;;;;;;;;;;;
lory;;;Color;Rojo;Talles;90;;;32,490.00;;0.20;30.00;20.00;0.20;5;;;;;;;;;;;;;;
lory;;;Color;Rojo;Talles;95;;;32,490.00;;0.20;30.00;20.00;0.20;5;;;;;;;;;;;;;;
lory;;;Color;Rojo;Talles;100;;;32,490.00;;0.20;30.00;20.00;0.20;0;;;;;;;;;;;;;;
lory;;;Color;Rojo;Talles;105;;;32,490.00;;0.20;30.00;20.00;0.20;5;;;;;;;;;;;;;;
lory;;;Color;Avellana;Talles;85;;;32,490.00;;0.12;30.00;20.00;0.20;5;;;;;;;;;;;;;;
lory;;;Color;Avellana;Talles;90;;;32,490.00;;0.12;30.00;20.00;0.20;5;;;;;;;;;;;;;;
lory;;;Color;Avellana;Talles;95;;;32,490.00;;0.12;30.00;20.00;0.20;5;;;;;;;;;;;;;;
lory;;;Color;Avellana;Talles;100;;;32,490.00;;0.12;30.00;20.00;0.20;5;;;;;;;;;;;;;;
lory;;;Color;Avellana;Talles;105;;;32,490.00;;0.12;30.00;20.00;0.20;5;;;;;;;;;;;;;;
